text,label,source
"SINGLE KATOLIK JIKA KAMU INGIN MENEMUKAN JODOH SEIMAN, PERTAMA-TAMA PERKUAT HUBUNGANMU DENGAN BAPA. Sosial Media: @grup_singlekatolik @singlekatolik Grup Member: SINGLE KATOLIK",AMAN,indodiscourse_real
Ya Allah aku tau aku pendosa Tapi tolong 1 aj kabulkan doa kami Ratakan Israel tanpa sisa,TINGGI,indodiscourse_real
"Ganyang semua pengungsi laknat itu, bakar kamp mereka biar mampus terpanggang semua drpd bikin rusuh di tanah kita. Serbu skrg jgn kasih sisa!",TINGGI,synthetic_gemini
"Alhamdulillah! ODGJ Viral Alumni ITB Akhirnya Ketemu, Enuh Nugraha Jalan Kaki Lebih dari 500 Km @tribunnews",AMAN,indodiscourse_real
"Maafkan ya tetangga2 kos, kalo aku tiap malem ketawa2 sendiri, emang lagi gila aja 🙏🏻 hehehe",AMAN,indodiscourse_real
pengen ketemu presiden israel terus cubit matanya pke tang 🤏🏻,WASPADA,indodiscourse_real
Rayuan Perempuan Gila one hour 🤟🏻,AMAN,indodiscourse_real
Iran : As Berani Kirim Pasukan Ke Gaza. Kami Akan Ratakan Israel Dengan ... @YouTube,TINGGI,indodiscourse_real
"Latar Belakang Netanyahu Ibu Netanyahu, Tzila Segal, seorang Yahudi kelahiran Zionis dan yahnya Benzion Netanyahu seorang Yahudi sekuler dari Polandia. Ayahnya, lahir Benzion Mileikowsky, mengubah namanya menjadi Benzion Netanyahu setelah ia menetap di Palestina.",AMAN,indodiscourse_real
Syiah / shit ah bukan Islam tp agama kafir racikan buatan munafik Yahudi / Isrewel Abdullah bin Saba dgn petunjuk dr para syetan !,WASPADA,indodiscourse_real
TEKNOLOGI NYAMUK WOLBACHIA SEBARKAN VIRUS JAPANESE ENCHEPALITIS YANG MENYEBABKAN PERADANGAN OTAK,AMAN,indodiscourse_real
Penduduk sipil Israel yahudi laknatullah mendapat tambahan 1000 tewas n truslah berjuang demi kebenaran n seandainya satu dunia tidak membela para pejuang n memeng akan trs bersama kalian n memeng akan berdiri dgn tongkat tua smpai badan ini terbelah,AMAN,indodiscourse_real
Masyarakat Papua berhak mendapatan kehidupan yang aman dan damai tanpa gangguan dari Kelompok Separatis. Masyarakat Papua berhak atas hidup yang aman tanpa adanya ancaman dari KST maupun dari kelompok yang hendak memecah NKRI. #SikatHabisKKB_Teroris Kiky Subuh Puan ODGJ,AMAN,indodiscourse_real
"Gue bener2 pengen liat tel aviv rata sama tanah kena nuklir. Kalo bisa kirim pasukan bunuh diri ke sana, ledakin semua mall dan fasilitas umum biar mereka ngerasain neraka sebelum mampus!",TINGGI,synthetic_gemini
